Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I want to purchase land to start an organic farming venture.,143096,657,102505,31.64,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,175791,700,28928,15.8,employed,Approved
I need financial assistance to buy farm equipment for my agricultural business.,65115,842,7144,11.18,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,45158,623,35762,41.61,unemployed,Rejected
I need a loan to install a security system at home.,123323,342,72143,14.6,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,144036,677,112772,33.16,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,186573,424,47085,23.0,unemployed,Rejected
I need money to open a small bookstore and café.,112766,568,43686,8.09,employed,Approved
I want to start a local transportation service and need funds for a van.,40366,448,24082,35.59,employed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,169857,363,90654,26.26,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,35784,472,15753,43.65,employed,Rejected
I need a loan to buy a truck and start a moving business.,106087,725,2700,44.5,employed,Approved
I need a loan to install a security system at home.,138745,758,23790,15.3,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,135271,835,50239,34.32,employed,Approved
I need a loan to pay for a down payment on my first home.,38889,483,9452,97.81,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,117838,651,21209,18.93,employed,Approved
I want to invest in livestock to start a small dairy farm.,143346,460,62759,31.01,employed,Rejected
I need financial support for medical treatment abroad.,143753,845,36467,21.66,employed,Approved
I want to invest in a rental property as a source of passive income.,193007,535,104724,6.53,employed,Rejected
I need a loan to pay for a digital marketing course to grow my business.,114002,504,86187,35.31,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,147619,412,44415,17.59,employed,Rejected
I need financial help to cover maternity and delivery expenses.,92036,352,57653,18.7,unemployed,Rejected
I need a loan to develop and launch my mobile app startup.,140518,392,56521,27.14,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,94228,675,64934,22.6,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,134611,840,7401,22.05,employed,Approved
I need funds to pay for my daughter's college tuition.,86076,300,46970,15.34,employed,Rejected
I need a loan to finance my MBA and career advancement.,90713,652,50212,39.12,unemployed,Rejected
I need money to launch my own tech startup focused on AI solutions.,154534,821,14892,23.04,employed,Approved
I need a loan to cover moving expenses after being transferred to another city.,48845,397,6958,14.41,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,23753,743,14139,43.94,employed,Approved
I need money to buy new tools and materials for my woodworking business.,31361,810,24212,54.44,employed,Rejected
I want to buy a car for my rideshare business on Uber.,36217,724,9833,33.56,unemployed,Rejected
I need financial support to renovate my rental apartment.,154756,438,2684,9.41,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,140697,674,35987,15.29,employed,Approved
I need funds to pay for my daughter's college tuition.,171572,545,95877,15.93,employed,Rejected
I want to invest in livestock to start a small dairy farm.,138194,586,54020,9.33,unemployed,Rejected
I need a loan to build a website and market my freelance services.,38068,480,5470,27.01,employed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,196768,640,25293,19.18,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,39497,343,1639,49.59,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,75664,498,37908,63.06,unemployed,Rejected
I need a loan to start a small business.,77408,636,60494,15.38,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,147151,647,91382,13.75,unemployed,Rejected
I need a loan to cover moving expenses after being transferred to another city.,59424,369,45488,31.36,unemployed,Rejected
I want to expand my small online clothing store.,48819,623,38986,62.48,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,114240,335,34818,36.61,employed,Rejected
I need money to invest in stock trading and portfolio building.,126599,729,62153,35.94,employed,Approved
I need a loan to build a website and market my freelance services.,159256,531,41172,21.16,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,83743,814,1276,57.95,employed,Rejected
I want to buy a car for my rideshare business on Uber.,185396,775,38588,25.45,employed,Approved
I need a loan to relocate to a new city after getting a job offer.,30451,778,4548,148.36,unemployed,Rejected
I need financial help to build my dream home in the countryside.,118575,312,86511,26.9,employed,Rejected
I need money to refinance my home loan at a lower interest rate.,109261,592,68147,45.26,employed,Rejected
I need money to invest in stock trading and portfolio building.,61097,486,2081,9.21,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,151197,796,37952,25.04,employed,Approved
I need a loan to relocate to a new city after getting a job offer.,192382,844,66607,16.27,unemployed,Rejected
I need a loan to build a website and market my freelance services.,113562,485,6039,36.09,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,94431,484,14341,7.29,unemployed,Rejected
I need money to cover adoption fees and related expenses.,172352,720,91023,24.55,unemployed,Rejected
I need a loan to repair my car after an accident.,161466,528,17304,14.05,employed,Rejected
I need financial assistance to buy farm equipment for my agricultural business.,77846,415,2724,30.56,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,112587,741,13308,36.27,employed,Approved
I want to pay off my payday loans and switch to a lower-interest option.,182322,569,33105,4.47,employed,Approved
I need a loan to pay for my son's medical treatment and therapy.,75326,824,48585,65.61,employed,Rejected
I need a loan to buy a truck and start a moving business.,55373,514,6364,57.95,employed,Rejected
I need money to buy new tools and materials for my woodworking business.,139153,805,78537,26.55,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,61276,602,32692,17.47,unemployed,Rejected
I need a loan to repair my car after an accident.,76752,482,43475,15.18,employed,Rejected
I need money to purchase a food truck and start my own business.,49368,470,19418,32.8,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,198930,700,71448,10.9,employed,Approved
I need a loan to finance my MBA and career advancement.,186872,616,110632,6.98,unemployed,Rejected
I need funds to pay for my daughter's college tuition.,64325,814,5813,17.96,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,107635,336,20259,12.48,employed,Rejected
I need money to cover adoption fees and related expenses.,87383,702,61558,9.63,unemployed,Rejected
I need financial support for medical treatment abroad.,131932,510,59885,11.55,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,110369,685,23077,11.71,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,173576,550,31699,10.63,employed,Rejected
I need money to pay for a vocational training course in plumbing.,65414,350,37857,11.69,employed,Rejected
I need a loan to buy a reliable used car for work commuting.,116836,404,89496,5.87,unemployed,Rejected
I need money to open a small bookstore and café.,175932,539,23729,23.04,employed,Rejected
I need money to open a small bookstore and café.,35255,430,4329,126.18,unemployed,Rejected
I need a loan to pay for an international vacation with my family.,131188,402,43400,30.18,unemployed,Rejected
I need funds to pay for my pilot training program.,60547,610,10927,61.94,unemployed,Rejected
